"Section","Filter Field","Value"
"Company Attributes","Account List","Target Accounts — Tier 2"
"Company Attributes","Account List — Note","Co-op Group, JD Sports, Footasylum, River Island, Reiss, AllSaints, Sweaty Betty, Superdry, Harrods, Selfridges, Toolstation (Travis Perkins), Waterstones, Halfords, Pets at Home, AS Watson (Superdrug), Five Guys, Marston's, Nando's, Stonegate Pubs"
"Job Title","Seniority","CXO"
"Job Title","Seniority","VP"
"Job Title","Seniority","Director"
"Job Title","Job Function","Operations"
"Job Title","Job Function","Finance"
"Job Title","Job Function","Human Resources"
"Job Title","Job Title — Include (Similar To)","COO"
"Job Title","Job Title — Include (Similar To)","Operations Director"
"Job Title","Job Title — Include (Similar To)","Head of Store Operations"
"Job Title","Job Title — Include (Similar To)","Head of Retail Operations"
"Job Title","Job Title — Include (Similar To)","Head of Field Operations"
"Job Title","Job Title — Include (Similar To)","CFO"
"Job Title","Job Title — Include (Similar To)","Finance Director"
"Job Title","Job Title — Include (Similar To)","Head of Finance"
"Job Title","Job Title — Include (Similar To)","CHRO"
"Job Title","Job Title — Include (Similar To)","Chief People Officer"
"Job Title","Job Title — Include (Similar To)","HR Director"
"Job Title","Job Title — Include (Similar To)","Head of People"
"Job Title","Job Title — Include (Similar To)","Head of Workforce"
"Job Title","Job Title — Include (Similar To)","Head of Labour"
"Job Title","Job Title — Exclude","Intern"
"Job Title","Job Title — Exclude","Junior"
"Job Title","Job Title — Exclude","Coordinator"
"Experience","Months in Current Role — Min","6"
"Experience","Number of Experiences — Min","2"
"Location","Country — Include","United Kingdom"
"Location","Country — Include","Ireland"
